,First Name,Last Name,City,Driver,Buddy,Driver-guide,BikeGuide,Martyrs' Memorial,Vue Cinema Oxford,Headington County Library,Grave of C. S. Lewis,Old Marston Library,New Marston War Memorial,Oxfordshire and Buckinghamshire Light Infantry War Memorial,New Theatre Oxford,Blackwell's,Rewley Abbey,Museum of Oxford,Site of the Morris Longwall Garage,Tirah Memorial,Old Fire Station Theatre,Shelley Memorial,Millennium Milepost Eastern By-Pass Road,Edgar George Wilson,Jarn Mound,Oxford City Boundary Stone,Oxford Spires,Boathouse Corner,Kingfisher Point,St Margaret's Well,Daunt Books,The Cross of Sacrifice,Blackwell's Sci-Fi and Manga,Antiques on High,Oxford War Memorial,Alice's Shop,Tower of the Five Orders,Edmond Halley,Botley Library,Walton Well Drinking Fountain,New Marston (South) Residents Association,Marks & Spencer,Waterstones,Shotover Country Park Map,Littlemore Library,Site of Headington Union Workhouse,J.R.R. Tolkien,Blue Plaque - Niradc. Chaudhuri,Paul Nash,Sir Francis Simon,Sir James Murray,Roger Bannister,William Morris,The First Superconducting Magnet for MRI Scanning,Inorganic Chemistry Laboratory,Glucose Sensor,Jane Burden,The Oxfordshire Yeomanry,Bodleian Library Ticket office,Whitley V Aircraft Crash Memorial Plaque,Dyson Perrins Laboratory,Clarendon Laboratory,Havel's Place,St Philip's Books,Oxford Blue,Oxford Souvenirs,Babylon,TGJones,Arcadia,Oxford Memories,Oxford Gift Box,The Crafters Emporium,House of Wonders,Scribbler,Historical Oxford,Medieval Jewish Burial Ground,Penicillin Research,Medieval Jewish Cemetery,Allen Ward and Medical Library,Bodleian Law Library,South Park Commemoration Stone,Royalist surrender at Oxford,John Lewis & Partners,Blackwell's,Oxford Westgate Library,Curzon Oxford,International Brigade Memorial,Weston Library Gift Shop,Site of the Burning of the Oxford Martyrs,Birthplace of Richard I and John,Close to this spot lies the site of the mediaeval gallows,Tolkien's Table,Millennium Milepost Sandford-on-Thames,Dorothy Crowfoot Hodgkin,St John Street Area Residents' Association Community Noticeboard,Gilbert Charles Bourne,The Painted Room,William Kimber,Highfield Residents' Association Community Noticeboard,Churchill Community Noticeboard,Michael Pilch Studio,O'Reilly Theatre,Ivy Williams,Edward Brooks VC,Muntjac Point,Elizabeth Bowen,Salvador de Madariaga,Sherardian Library of Plant Taxonomy,"Professor Gathorne Robert Girdlestone ""GRG""",Sir Isaiah Berlin O.M.,Joe Pullen's Tree,The Queen's College Library,Balliol College Library,Keble College Library,JRR Tolkien,Cowley Barracks,Ripon Hall,Founders Opening Stone,Radcliffe Science Library,Kuwait Library,John Moussouris Library,Bruce Naylor,Genetic Garden,Gandhi Plaque,Ark-T @ The Venue,Starting Ring,Oxford Canoe and Kayak Club,Isis Canoe Club,St Antony's College Library,Sandford Lasher Memorial,Cecil Jackson-Cole,Last Bookshop,Christian Cole,William Wilkinson,Olive Gibbs,Pembroke Art,Oxford Blue,Boyle and Hooke,Blackwell's Oxford,Harris Manchester College Library,Rhoda Broughton,Welcome to Iffley Meadows,Turl Street / High Street,Acer Nethercott,John Henry Brookes,Irvine Memorial,John Thompson Memorial Stone,Regent's Park College Library,Oxford City Football Club,Tank Bridge,Eye-wash Hill,Incredible Oxford,Anthony à Wood,Prison A Wing,Prison Debtors' Tower,The Perimeter Wall at Oxford Prison,"Archaeology, the Castle Ditch, and its skeletons",Vaulted Well Chamber,Kennington War Memorial,Evnomia Chambers,Goodman Library,Percy Manning,Captain Noel Chavasse,James Sadler,Oxford Park & Ride,Callaghan Library,Ark-T @ Templar Square,Card Factory,Osney Lock,Thames Path,Banjo Enclosure,TK Maxx,Stone of Remembrance,Elisabeth Rawson,George Best,Wizard's Emporium,Barton Library,Gallery Bouldering,St Clement's WW1 Memorial Cross,1860 Oxford Evolution Debate,Oxford Bus Company Travel Shop & Lounge,Levellers Memorial,Wycliffe Hall Library,Jewish Cemetery,Tourist Information,Leopold Muller Memorial Library,"8, 10 & 10 Turn Again Lane",Vere Harmsworth Library,Sainsbury Library,Oxford Experience,Welcome to the Oxford Canal,Roger Bannister World Record Mile,Simon Greenall,Nizami Ganjavi Library,Revd W. A. Spooner,James Legge,The New Space,Jubilee Bridge,Oxford Judo,Jiu-Jitsu Republic,ST Lee Gallery and Treasury,Roger Bacon,Headington Quarry War Memorial,KB Chen China Centre Library,Oxford University Canoe and Kayaking Club,LeoQuent,Menkind,Godstow Abbey,FusionArts,William Morris Viscount Nuffield,Cairns Library,Girdlestone Memorial Library,Knowledge Centre,Education Library,Japanese Library,Latin American Centre Library,Rewley House Continuing Education Library,Thomas Willis,Henry Marten,Kathleen Major Library,Wolfson College Library,Birthwort,Sohmen Concert Hall,Bate Collection of Musical Instruments,John Towle Close,The Taxonomic Beds EUDICOTS,"SUPER-ROSIDS, ROSIDS (FABIDS)/FABALES",PLANTS THAT CHANGED THE WORLD And how they were moved,A Greek Odyssey: Sibthorp's voyages in the footsteps of Dioscorides,THE BOTANY OF GIN,CARNIVOROUS PLANTS,The Taxonomic Beds/ANGIOSPERMS WITH MONOCOLPATE POLLEN/A POLLEN PUZZLE SOLVED BY DNA,PITCHER PLANT PARADISE,BASAL EUDICOTS/PROTEALES,Bodleian Humanities Library,Radcliffe Infirmary,Penrose Paving,First World War Memorial,Pergamon Press Strike,Welcome to The Rewley Road Swing Bridge,Rewley Road Swing Bridge,Rewley Road Swing Bridge Restoration Project,Abel Beesley,Language0,Language1,Language2,Language3,Rating,2026-02-07,2026-02-08,2026-02-09,2026-02-10,2026-02-11,2026-02-12,2026-02-13,2026-02-14,2026-02-15,2026-02-16,2026-02-17,2026-02-18,2026-02-19,2026-02-20,2026-02-21
0,Liam,Guerrero,Oxford,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,English,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Noah,Kennedy,Oxford,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,English,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Oliver,Castro,Oxford,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,English,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
3,Elijah,Mendez,Oxford,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,English,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,James,Richardson,Oxford,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,English,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,William,Palmer,Oxford,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,English,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Benjamin,Bryant,Oxford,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,English,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Lucas,Mendez,Oxford,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,English,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Henry,Perry,Oxford,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,English,0,Swahili,French,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Alexander,Carpenter,Oxford,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,English,0,Bengali,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
